Tract_Boundaries_ID,Tract_Boundaries_NAME,Tract_Boundaries_STATE_NAME,Tract_Boundaries_ST_ABBREV,Poverty_csv_Geography,Poverty_csv_POP_POVstatusdeterm,Poverty_csv_MOE_POP_POVstatusde,Poverty_csv_Below_poverty_level,Poverty_csv_MOE_Below_poverty_l,Poverty_csv_Percent_below_pover,Poverty_csv_MOE_Percent_below_p,MedianFamilyIncome_csv_Geograph,MedianFamilyIncome_csv_Median_F,MedianFamilyIncome_csv_MOE_Medi,Tract_by_Metro_Area_csv_countyn,Tract_by_Metro_Area_csv_cbsa_co,Tract_by_Metro_Area_csv_cbsanam,Tract_by_Metro_Area_csv_class,Tract_by_Metro_Area_csv_TotalPo,Geography,Metro_MedFamInc,MOE_Metro_MedFamInc,State_MedFamInc,MOE_State_MedFamInc,Shape__Area,Shape__Length
13095000100,130950001.00,Georgia,GA,"Census Tract 1, Dougherty County, Georgia",4759,719,1364,477,28.7,9.6,"Census Tract 1, Dougherty County, Georgia",31154,9267,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,4759,"Albany, GA Metro Area",46874,1517,61328,289,11358050.517578125,15419.752199902628
13095000200,130950002.00,Georgia,GA,"Census Tract 2, Dougherty County, Georgia",2988,493,1786,487,59.8,10.4,"Census Tract 2, Dougherty County, Georgia",22250,6507,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,2988,"Albany, GA Metro Area",46874,1517,61328,289,6830510.927734375,13857.325832300088
13095000400,130950004.00,Georgia,GA,"Census Tract 4, Dougherty County, Georgia",6160,531,1451,477,23.6,7.6,"Census Tract 4, Dougherty County, Georgia",31240,5253,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,6209,"Albany, GA Metro Area",46874,1517,61328,289,10395440.74609375,15512.380353689048
13095000501,130950005.01,Georgia,GA,"Census Tract 5.01, Dougherty County, Georgia",5057,577,349,178,6.9,3.6,"Census Tract 5.01, Dougherty County, Georgia",71713,9107,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,5150,"Albany, GA Metro Area",46874,1517,61328,289,6299688.447265625,10819.030705671343
13095000502,130950005.02,Georgia,GA,"Census Tract 5.02, Dougherty County, Georgia",4784,340,295,163,6.2,3.3,"Census Tract 5.02, Dougherty County, Georgia",89722,20724,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,4827,"Albany, GA Metro Area",46874,1517,61328,289,9590804.447265625,14454.960720828609
13095000600,130950006.00,Georgia,GA,"Census Tract 6, Dougherty County, Georgia",2848,439,551,245,19.3,7.7,"Census Tract 6, Dougherty County, Georgia",41436,10160,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,2887,"Albany, GA Metro Area",46874,1517,61328,289,4803175.197265625,9709.784538228178
13095000700,130950007.00,Georgia,GA,"Census Tract 7, Dougherty County, Georgia",1723,186,380,150,22.1,7.7,"Census Tract 7, Dougherty County, Georgia",50791,5541,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,1742,"Albany, GA Metro Area",46874,1517,61328,289,2757374.720703125,8044.631751955813
13095000800,130950008.00,Georgia,GA,"Census Tract 8, Dougherty County, Georgia",1536,204,1038,205,67.6,9.8,"Census Tract 8, Dougherty County, Georgia",15446,6087,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,1548,"Albany, GA Metro Area",46874,1517,61328,289,2606833.244140625,9842.397714412864
13095000900,130950009.00,Georgia,GA,"Census Tract 9, Dougherty County, Georgia",2068,232,653,154,31.6,6.7,"Census Tract 9, Dougherty County, Georgia",35288,4791,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,2097,"Albany, GA Metro Area",46874,1517,61328,289,2929091.837890625,7536.956596559505
13095001000,130950010.00,Georgia,GA,"Census Tract 10, Dougherty County, Georgia",2101,307,928,333,44.2,12.4,"Census Tract 10, Dougherty County, Georgia",27150,14959,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,2350,"Albany, GA Metro Area",46874,1517,61328,289,5772189.763671875,11182.183351491665
13095001100,130950011.00,Georgia,GA,"Census Tract 11, Dougherty County, Georgia",5772,530,2787,740,48.3,10.8,"Census Tract 11, Dougherty County, Georgia",22292,7856,Dougherty County,10500,"Albany, GA Metropolitan Statistical Area",Metro,5851,"Albany, GA Metro Area",46874,1517,61328,289,13063357.095703125,17369.505388422014
